seed,opinion_state_avg,run_mode,final_kalman_err
89,0.4402539250461285,pure,1.0001634805287168e-05
89,0.4402539250461285,pure,1.0001634805287168e-05
90,0.7028329386030914,pure,7.64175095679089e-06
90,0.7028329386030914,pure,7.64175095679089e-06
91,0.336024279104405,pure,6.833830579354158e-06
91,0.336024279104405,pure,6.833830579354158e-06
92,0.7485009091477746,pure,1.4079954803694039e-05
92,0.7485009091477746,pure,1.4079954803694039e-05
93,0.3626026341441031,pure,1.7021850250412603e-05
93,0.3626026341441031,pure,1.7021850250412603e-05
94,0.41768280505793054,pure,2.0890556215032787e-05
94,0.41768280505793054,pure,2.0890556215032787e-05
95,0.470593954930553,pure,9.00942166659124e-06
95,0.470593954930553,pure,9.00942166659124e-06
96,0.47815489038934744,pure,1.4202846316781255e-05
96,0.47815489038934744,pure,1.4202846316781255e-05
97,0.22888763582918886,pure,4.662980630689649e-06
97,0.22888763582918886,pure,4.662980630689649e-06
98,0.5891121140239348,pure,6.660716649472788e-06
98,0.5891121140239348,pure,6.660716649472788e-06
99,0.5787086641132737,pure,5.5876817147394795e-06
99,0.5787086641132737,pure,5.5876817147394795e-06
100,0.4754939849141985,pure,4.510742624993875e-06
100,0.4754939849141985,pure,4.510742624993875e-06
1,0.7640085502308337,with_actors,0.8904861210141756
1,0.7740720427625892,with_actors,0.8930562263894609
2,0.8449164441915801,with_actors,0.21620224670680888
2,0.9127379222663679,with_actors,0.22543948299802977
3,0.7911515598115697,with_actors,0.597539329840826
3,0.8241519877447363,with_actors,0.6031211949579866
4,0.8169054334856027,with_actors,0.9130079355116055
4,0.8378121140832274,with_actors,0.9157635237176412
5,0.8400869188412963,with_actors,0.20996440317672094
5,0.9033374821591207,with_actors,0.2098574051102848
6,0.8023112560445893,with_actors,0.30454276626710997
6,0.8457861845695489,with_actors,0.3053361377023622
7,0.8270920910288131,with_actors,0.4396442023027501
7,0.8441864573551174,with_actors,0.4345816392179481
8,0.8969084299575458,with_actors,0.7232119013146228
8,0.9448814761838319,with_actors,0.724329128082247
9,0.828876820582451,with_actors,0.24183618915841426
9,0.8860948547006855,with_actors,0.24159995995643688
10,0.8559842493088828,with_actors,0.3090658910056955
10,0.8984104943883997,with_actors,0.3154030403652966
11,0.8537830406644327,with_actors,0.4363340274895804
11,0.9103875996999652,with_actors,0.43694339640923097
12,0.9187163959663245,with_actors,0.261079270078729
12,0.9567732435192305,with_actors,0.2636271127445602
13,0.7750780533207469,with_actors,0.7197182189345621
13,0.8145973679496581,with_actors,0.7196497698922805
14,0.8370995526681289,with_actors,0.2434244534178985
14,0.8812756141811214,with_actors,0.24448655256498406
15,0.6883756859474949,with_actors,0.8663124874613956
15,0.718328916070905,with_actors,0.8652981413156516
16,0.7709668555335407,with_actors,0.5095092292351954
16,0.8335447766561304,with_actors,0.5087022309007045
17,0.7655385777396913,with_actors,0.3415723103873679
17,0.829549488732693,with_actors,0.3360177669711326
18,0.819152119399103,with_actors,0.5222972392521144
18,0.8365485421769177,with_actors,0.5218520146412615
19,0.7922892888268136,with_actors,0.6737126320988015
19,0.8270194048792953,with_actors,0.6750088954997305
20,0.8640222430541991,with_actors,0.8568456443974056
20,0.8866844259605257,with_actors,0.8584316615718502
21,0.8121423988573211,with_actors,0.2750752694829997
21,0.8639976325130209,with_actors,0.2724150104067009
22,0.8385000143769158,with_actors,0.4071531774190738
22,0.9165785550115768,with_actors,0.42141602454723853
23,0.9296483764947777,with_actors,0.6895057080409286
23,0.9638944174715778,with_actors,0.6896514208325468
24,0.8558758431863455,with_actors,0.26782395766740114
24,0.8772735347397527,with_actors,0.27093600439477994
