step,opinion_state,control_input,attacker_input
75,[0.50635687 0.40453321 1.00672437 0.80363747],[0.79155224 0.49889215 0.82853239 0.61506565],[0.43790531 0.84983748 0.93361876 0.9600014 ]
76,[0.92587047 0.16497672 0.42024916 0.4143459 ],[0.75484302 0.61970965 0.49758891 0.2179547 ],[0.99363267 0.99306322 0.46982314 0.79538737]
77,[-0.0545666  -0.11703373  0.51334965  0.40916723],[0.04874353 0.5684103  0.7464076  0.68688543],[0.00728386 0.37466259 0.24549386 0.39827177]
78,[0.33055251 0.38018031 0.44975319 0.31710161],[0.46302698 0.35305338 0.58119261 0.41244214],[0.29433821 0.51246493 0.22754085 0.28926114]
79,[0.24580367 0.27002923 0.64327963 0.58607757],[0.04612421 0.68294686 0.96747237 0.33867503],[0.34354475 0.44413591 0.26211976 0.81456812]
80,[0.22174189 0.20501203 0.72714302 0.12619071],[0.39189219 0.87620833 0.76835971 0.13781656],[0.22522722 0.31539883 0.65819105 0.3060765 ]
81,[0.37170094 0.44638416 0.97418202 0.39185644],[0.58776185 0.22604681 0.97504396 0.52008713],[0.29355605 0.96047319 0.78810648 0.40895888]
82,[0.00249496 0.10554805 0.3811454  0.61877639],[0.10692885 0.23240377 0.31432713 0.58627441],[0.05702631 0.97415115 0.53706658 0.80253127]
83,[0.62166545 0.10647565 0.99022783 0.56220643],[0.63492095 0.00128962 0.95099906 0.33661571],[0.60758364 0.67804151 0.90112979 0.72309343]
84,[ 0.39179402 -0.38070385  0.8163346   0.4008175 ],[0.91645493 0.71846864 0.62875577 0.59816574],[0.27019569 0.02445789 0.9434757  0.49308991]
85,[ 0.0975741  -0.02685243  0.60013449  0.46435479],[0.15431787 0.48143255 0.85522265 0.93174694],[0.14071031 0.17188243 0.14603649 0.24787053]
86,[0.42350623 0.07239308 0.26274411 0.80506541],[0.18878808 0.32780089 0.39994963 0.87951574],[0.51515745 0.34960712 0.11851598 0.74685848]
87,[ 0.56726622 -0.61340573  0.45212876  0.72028089],[0.17789136 0.06177752 0.66256832 0.4024342 ],[0.72751419 0.0125532  0.26233642 0.96170613]
88,[0.62353464 0.30713739 0.54340634 0.30038332],[0.21255249 0.25325122 0.28066185 0.79670742],[0.7771161  0.81868759 0.68249708 0.06813424]
